force,linear_velocity_next_step,push resistance,pull resistance,force_positive
-10.801908229999999,0.0,32,8,False
-6.71530823,-4.793689962142628,32,8,False
-20.33730823,-9.587379924285257,32,8,False
-76.18750823,-38.34951969714103,32,8,False
-93.89610823,-84.12152707759968,32,8,False
-2.62870823,0.0,8,64,False
49.13489177,6.391586616190172,8,64,True
60.03249177,47.93689962142629,8,64,True
55.94589177,71.90534943213943,8,64,True
2.82009177,0.0,64,8,True
8.26889177,0.0,64,8,True
19.16649177,0.0,64,8,True
20.528691770000002,0.0,64,8,True
19.16649177,0.0,64,8,True
20.528691770000002,0.0,64,8,True
23.253091769999997,0.0,64,8,True
21.890891770000003,0.0,64,8,True
27.339691769999998,0.0,64,8,True
24.61529177,0.0,64,8,True
16.44209177,0.0,64,8,True
12.35549177,0.0,64,8,True
9.63109177,0.0,64,8,True
8.26889177,0.0,64,8,True
9.63109177,0.0,64,8,True
10.99329177,0.0,64,8,True
9.63109177,0.0,64,8,True
8.26889177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
1.45789177,0.0,64,8,True
2.82009177,0.0,64,8,True
2.82009177,0.0,64,8,True
2.82009177,0.0,64,8,True
2.82009177,0.0,64,8,True
-5.35310823,0.0,64,8,False
-1.26650823,0.0,64,8,False
-1.26650823,0.0,64,8,False
-1.26650823,0.0,64,8,False
-5.35310823,0.0,64,8,False
-14.888508230000001,-4.793689962142628,64,8,False
-14.888508230000001,-9.587379924285257,64,8,False
-3.9909082299999996,-14.381069886427886,64,8,False
16.44209177,-9.587379924285257,64,8,True
8.26889177,0.0,64,8,True
-2.62870823,0.0,64,8,False
-24.423908230000002,-4.793689962142628,64,8,False
-40.770308230000005,-23.968449810713146,64,8,False
4.18229177,0.0,64,8,True
0.09569177,0.0,64,8,True
2.82009177,0.0,64,8,True
2.82009177,0.0,64,8,True
15.07989177,0.0,64,8,True
25.97749177,0.0,64,8,True
31.426291770000002,0.0,64,8,True
34.15069177,0.0,64,8,True
45.04829177,0.0,64,8,True
30.06409177,0.0,64,8,True
39.59949177,0.0,64,8,True
40.96169177,0.0,64,8,True
34.15069177,0.0,64,8,True
20.528691770000002,0.0,64,8,True
13.717691769999998,0.0,64,8,True
12.35549177,0.0,64,8,True
10.99329177,0.0,64,8,True
8.26889177,0.0,64,8,True
9.63109177,0.0,64,8,True
9.63109177,0.0,64,8,True
8.26889177,0.0,64,8,True
6.90669177,0.0,64,8,True
5.5444917700000005,-4.793689962142628,64,8,True
6.90669177,4.793689962142628,64,8,True
6.90669177,0.0,64,8,True
6.90669177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
6.90669177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
6.90669177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
5.5444917700000005,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
4.18229177,0.0,64,8,True
2.82009177,0.0,64,8,True
1.45789177,0.0,64,8,True
-12.16410823,0.0,64,8,False
-10.801908229999999,-4.793689962142628,64,8,False
-3.9909082299999996,-9.587379924285257,64,8,False
-8.07750823,-4.793689962142628,64,8,False
-42.13250823,-23.968449810713146,64,8,False
-12.16410823,-28.76213977285577,64,8,False
-2.62870823,-23.968449810713146,64,8,False
-5.35310823,0.0,32,8,False
-5.35310823,0.0,32,8,False
-5.35310823,-4.793689962142628,32,8,False
-14.888508230000001,-9.587379924285257,32,8,False
24.61529177,-9.587379924285257,32,8,True
20.528691770000002,0.0,32,8,True
17.80429177,4.793689962142628,32,8,True
15.07989177,0.0,32,8,True
19.16649177,0.0,32,8,True
16.44209177,0.0,32,8,True
17.80429177,0.0,32,8,True
15.07989177,0.0,32,8,True
12.35549177,0.0,32,8,True
10.99329177,0.0,32,8,True
12.35549177,0.0,32,8,True
15.07989177,0.0,32,8,True
15.07989177,0.0,32,8,True
15.07989177,0.0,32,8,True
12.35549177,0.0,32,8,True
